route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color
702,NJB,702,Paterson - Elmwood Park,3,,
703,NJB,703,Haledon - Paterson - East Rutherford,3,,
704,NJB,704,Paterson - Willowbrook Mall,3,,
705,NJB,705,Passaic - Willowbrook Mall,3,,
707,NJB,707,Paterson - Paramus,3,,
709,NJB,709,Bloomfield - Passaic - Paramus,3,,
71,NJB,71,Newark - West Caldwell,3,,
712,NJB,712,Hackensack - Paterson - Willowbrook Mall,3,,
72,NJB,72,Paterson - Bloomfield - Newark,3,,
722,NJB,722,Paterson - Paramus Park,3,,
73,NJB,73,Newark - Orange - Livingston,3,,
74,NJB,74,Paterson - Nutley - Newark,3,,
744,NJB,744,Passaic - Paterson,3,,
746,NJB,746,Ridgewood - Paterson,3,,
748,NJB,748,Paterson - Wayne,3,,
751,NJB,751,Paramus - Cliffside Park - Edgewater,3,,
752,NJB,752,Oakland - Ridgewood - Hackensack,3,,
753,NJB,753,New Milford - Paramus,3,,
755,NJB,755,Paramus - Fort Lee - Edgewater,3,,
756,NJB,756,Englewood Cliffs - Fort Lee - Paramus,3,,
758,NJB,758,Passaic - Paramus Park,3,,
76,NJB,76,Newark - Hackensack,3,,
762,NJB,762,Hackensack - New Milford - Paramus,3,,
770,NJB,770,Paterson - Hackensack,3,,
772,NJB,772,Paramus - Hackensack - American Dream,3,,
78,NJB,78,Newark - Secaucus,3,,
780,NJB,780,Passaic - Hackensack - Englewood,3,,
79,NJB,79,Parsippany - Newark Express,3,,
8,NJB,8,Bergen Avenue,3,,
80,NJB,80,Greenville - Journal Square - Exchange Place,3,,
801,NJB,801,Metropark - JFK Hospital,3,,
802,NJB,802,Metropark - Rt. 1/Green St.,3,,
803,NJB,803,Metropark - Woodbridge Center Dr.,3,,
804,NJB,804,Metropark - Wood Ave.,3,,
805,NJB,805,Metropark - Ford Ave.,3,,
81,NJB,81,Bayonne - Jersey City,3,,
810,NJB,810,New Brunswick - Woodbridge Center,3,,
811,NJB,811,New Brunswick - South River,3,,
813,NJB,813,Perth Amboy - Middlesex County College,3,,
814,NJB,814,N. Brunswick - New Brunswick - Middlesex C. C.,3,,
815,NJB,815,New Brunswick-East Brunswick-Woodbridge Ctr,3,,
817,NJB,817,Campbell s Junction - Perth Amboy,3,,
818,NJB,818,New Brunswick - East Brunswick - Old Bridge,3,,
819,NJB,819,Piscataway-Plainfield-Metuchen-Middlesex Mall,3,,
82,NJB,82,Jersey City Heights - Exchange Place,3,,
822,NJB,822,Plainfield - North Plainfield,3,,
83,NJB,83,Hackensack - Jersey City - Journal Square,3,,
